"","UF","casos_total","prop_F","prop_M","casos_F","casos_M","prop_igno","prop_indef","prop_pard","prop_ama","prop_pret","prop_bran","casos_igno","casos_indef","casos_pard","casos_ama","casos_pret","casos_bran","reg"
"1","AC",2,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,"NORTE"
"2","AL",62,0.870967741935484,0.129032258064516,54,8,0.5,0.129032258064516,0.193548387096774,0,0.0806451612903226,0.0967741935483871,31,8,12,0,5,6,"NORDESTE"
"3","AM",20,0.85,0.15,17,3,0,0,0.85,0,0,0.15,0,0,17,0,0,3,"NORTE"
"4","BA",123,0.813008130081301,0.186991869918699,100,23,0.154471544715447,0,0.422764227642276,0.024390243902439,0.170731707317073,0.227642276422764,19,0,52,3,21,28,"NORDESTE"
"5","CE",123,0.764227642276423,0.235772357723577,94,29,0,0.00813008130081301,0.75609756097561,0,0.040650406504065,0.195121951219512,0,1,93,0,5,24,"NORDESTE"
"6","DF",2,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,"CENTRO-OESTE"
"7","ES",6,0.833333333333333,0.166666666666667,5,1,0,0.166666666666667,0.333333333333333,0,0,0.5,0,1,2,0,0,3,"SUDESTE"
"8","GO",28,0.928571428571429,0.0714285714285714,26,2,0.5,0.0357142857142857,0.0714285714285714,0,0,0.392857142857143,14,1,2,0,0,11,"CENTRO-OESTE"
"9","MA",18,0.888888888888889,0.111111111111111,16,2,0,0,0.555555555555556,0,0.333333333333333,0.111111111111111,0,0,10,0,6,2,"NORDESTE"
"10","MG",323,0.882352941176471,0.117647058823529,285,38,0.0804953560371517,0,0.458204334365325,0.00928792569659443,0.0773993808049536,0.374613003095975,26,0,148,3,25,121,"SUDESTE"
"11","MS",89,0.842696629213483,0.157303370786517,75,14,0.0337078651685393,0.0112359550561798,0.359550561797753,0,0.101123595505618,0.49438202247191,3,1,32,0,9,44,"CENTRO-OESTE"
"12","MT",14,0.714285714285714,0.285714285714286,10,4,0,0,0.357142857142857,0.0714285714285714,0,0.571428571428571,0,0,5,1,0,8,"CENTRO-OESTE"
"13","PA",37,0.72972972972973,0.27027027027027,27,10,0.027027027027027,0,0.72972972972973,0.027027027027027,0.0810810810810811,0.135135135135135,1,0,27,1,3,5,"NORTE"
"14","PB",246,0.90650406504065,0.0934959349593496,223,23,0.0203252032520325,0.0894308943089431,0.617886178861789,0.0121951219512195,0.0121951219512195,0.247967479674797,5,22,152,3,3,61,"NORDESTE"
"15","PE",37,0.594594594594595,0.405405405405405,22,15,0,0,0.432432432432432,0.0540540540540541,0.108108108108108,0.405405405405405,0,0,16,2,4,15,"NORDESTE"
"16","PI",4,1,0,4,0,0,0,1,0,0,0,0,0,4,0,0,0,"NORDESTE"
"17","PR",184,0.896739130434783,0.103260869565217,165,19,0.0380434782608696,0,0.0978260869565217,0.0108695652173913,0.0217391304347826,0.831521739130435,7,0,18,2,4,153,"SUL"
"18","RJ",55,0.745454545454545,0.254545454545455,41,14,0.163636363636364,0.0363636363636364,0.145454545454545,0.0363636363636364,0.181818181818182,0.436363636363636,9,2,8,2,10,24,"SUDESTE"
"19","RN",66,0.742424242424242,0.242424242424242,49,16,0.121212121212121,0,0.363636363636364,0.0909090909090909,0,0.424242424242424,8,0,24,6,0,28,"NORDESTE"
"20","RO",30,0.8,0.2,24,6,0.0333333333333333,0.0333333333333333,0.4,0.0333333333333333,0.1,0.4,1,1,12,1,3,12,"NORTE"
"21","RR",55,0.872727272727273,0.127272727272727,48,7,0.0363636363636364,0.0363636363636364,0.527272727272727,0,0.0909090909090909,0.254545454545455,2,2,29,0,5,14,"NORTE"
"22","RS",209,0.837320574162679,0.162679425837321,175,34,0.0861244019138756,0.0143540669856459,0.0478468899521531,0,0.0574162679425837,0.789473684210526,18,3,10,0,12,165,"SUL"
"23","SC",40,0.925,0.075,37,3,0,0,0.2,0,0.025,0.775,0,0,8,0,1,31,"SUL"
"24","SE",6,1,0,6,0,0,0,0.666666666666667,0,0.166666666666667,0.166666666666667,0,0,4,0,1,1,"NORDESTE"
"25","SP",314,0.869426751592357,0.124203821656051,273,39,0.162420382165605,0.00318471337579618,0.187898089171975,0.00318471337579618,0.0732484076433121,0.570063694267516,51,1,59,1,23,179,"SUDESTE"
"26","TO",25,0.8,0.2,20,5,0,0,0.72,0,0.08,0.2,0,0,18,0,2,5,"NORTE"
