"","UF","NU_ANO","casos_total","prop_F","prop_M","casos_F","casos_M","prop_igno","prop_indef","prop_pard","prop_ama","prop_pret","prop_bran","casos_igno","casos_indef","casos_pard","casos_ama","casos_pret","casos_bran"
"1","AC",2018,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"2","AC",2024,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"3","AL",2015,2,1,0,2,0,0,0,0.5,0,0.5,0,0,0,1,0,1,0
"4","AL",2016,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"5","AL",2017,3,0.333333333333333,0.666666666666667,1,2,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,1,0,1,0,1,0
"6","AL",2018,37,0.972972972972973,0.027027027027027,36,1,0.783783783783784,0.216216216216216,0,0,0,0,29,8,0,0,0,0
"7","AL",2019,3,0.666666666666667,0.333333333333333,2,1,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,1,0,1,1
"8","AL",2020,2,1,0,2,0,0,0,0.5,0,0,0.5,0,0,1,0,0,1
"9","AL",2021,2,0,1,0,2,0.5,0,0,0,0.5,0,1,0,0,0,1,0
"10","AL",2022,2,1,0,2,0,0,0,0.5,0,0,0.5,0,0,1,0,0,1
"11","AL",2023,3,0.666666666666667,0.333333333333333,2,1,0,0,1,0,0,0,0,0,3,0,0,0
"12","AL",2024,6,0.833333333333333,0.166666666666667,5,1,0,0,0.666666666666667,0,0.166666666666667,0.166666666666667,0,0,4,0,1,1
"13","AL",2025,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"14","AM",2015,3,0.333333333333333,0.666666666666667,1,2,0,0,0.666666666666667,0,0,0.333333333333333,0,0,2,0,0,1
"15","AM",2016,4,1,0,4,0,0,0,0.75,0,0,0.25,0,0,3,0,0,1
"16","AM",2019,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"17","AM",2021,3,1,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0
