"","UF","NU_ANO","NÍVEL_ENSINO","casos_total","prop_F","prop_M","casos_F","casos_M","prop_igno","prop_indef","prop_pard","prop_ama","prop_pret","prop_bran","casos_igno","casos_indef","casos_pard","casos_ama","casos_pret","casos_bran"
"1","AC",2018,"Indefinido",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"2","AC",2024,"EDUCAÇÃO INFANTIL",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"3","AL",2015,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"4","AL",2015,"ENSINO FUNDAMENTAL",1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"5","AL",2016,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"6","AL",2017,"EDUCAÇÃO INFANTIL",1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"7","AL",2017,"ENSINO FUNDAMENTAL",1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"8","AL",2017,"ENSINO MÉDIO",1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"9","AL",2018,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",36,0.972222222222222,0.0277777777777778,35,1,0.777777777777778,0.222222222222222,0,0,0,0,28,8,0,0,0,0
"10","AL",2018,"Indefinido",1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"11","AL",2019,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"12","AL",2019,"EDUCAÇÃO INFANTIL",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"13","AL",2019,"Indefinido",1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"14","AL",2020,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",2,1,0,2,0,0,0,0.5,0,0,0.5,0,0,1,0,0,1
"15","AL",2021,"ENSINO MÉDIO",2,0,1,0,2,0.5,0,0,0,0.5,0,1,0,0,0,1,0
"16","AL",2022,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"17","AL",2022,"Indefinido",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"18","AL",2023,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",2,0.5,0.5,1,1,0,0,1,0,0,0,0,0,2,0,0,0
"19","AL",2023,"Indefinido",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"20","AL",2024,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",4,1,0,4,0,0,0,0.5,0,0.25,0.25,0,0,2,0,1,1
"21","AL",2024,"ENSINO FUNDAMENTAL",1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"22","AL",2024,"Indefinido",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"23","AL",2025,"Indefinido",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"24","AM",2015,"ENSINO FUNDAMENTAL",3,0.333333333333333,0.666666666666667,1,2,0,0,0.666666666666667,0,0,0.333333333333333,0,0,2,0,0,1
"25","AM",2016,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",4,1,0,4,0,0,0,0.75,0,0,0.25,0,0,3,0,0,1
"26","AM",2019,"Indefinido",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"27","AM",2021,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",3,1,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0
"28","AM",2022,"ENSINO MÉDIO",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"29","AM",2023,"Indefinido",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"30","AM",2024,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",3,1,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0
"31","AM",2024,"ENSINO MÉDIO",2,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0
"32","AM",2024,"Indefinido",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"33","AM",2025,"ENSINO FUNDAMENTAL",1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"34","BA",2013,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"35","BA",2013,"ENSINO FUNDAMENTAL",2,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0
"36","BA",2013,"ENSINO MÉDIO",1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"37","BA",2014,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",4,0.75,0.25,3,1,1,0,0,0,0,0,4,0,0,0,0,0
